flux wave error
-0.017688460648059845 1198.8300644158776 1.89209222298814e-05
-0.026350287720561028 1198.883541036107 1.594020432094112e-05
-0.02651451900601387 1198.9370173084753 1.585878817422781e-05
-0.11064685136079788 1198.9904932329896 1.5286976122297347e-05
-0.026904074475169182 1199.0439688096558 1.579381205374375e-05
-0.026879556477069855 1199.0974440384816 1.5362722479039803e-05
-0.027162907645106316 1199.1509189194733 1.5521412933594547e-05
-0.010913788340985775 1199.204393452638 2.697769923543092e-05
-0.019405581057071686 1199.2578676379821 1.9692282876349054e-05
-0.08117347210645676 1199.3113414755128 1.180505205411464e-05
-0.0489380806684494 1199.3648149652367 1.336686636932427e-05
-0.05080467835068703 1199.4182881071606 1.361262911814265e-05
-0.028417671099305153 1199.4717609012914 1.557492942083627e-05
-0.05866461619734764 1199.5252333476355 1.5136302863538731e-05
-0.05154809728264809 1199.5787054462 1.5472123777726665e-05
-0.028895769268274307 1199.6321771969915 1.539381810289342e-05
-0.051861830055713654 1199.6856486000174 1.287463692278834e-05
-0.020107075572013855 1199.7391196552837 1.808425076887943e-05
-0.05129823088645935 1199.7925903627975 1.3155759006622247e-05
-0.029542574658989906 1199.8460607225657 1.913381856866181e-05
-0.12063521146774292 1199.8995307345947 1.1467232070572209e-05
-0.05354369059205055 1199.9530003988918 1.326188248640392e-05
-0.051955558359622955 1200.0064697154635 1.238116055901628e-05
-0.029983680695295334 1200.0599386843166 1.8827049643732607e-05
-0.06837910413742065 1200.113407305458 1.4653883226856124e-05
-0.02136067859828472 1200.166875578894 1.8266673578182235e-05
-0.053447261452674866 1200.2203435046322 1.2972405784239527e-05
-0.012066763825714588 1200.2738110826788 2.7348743969923817e-05
-0.054942358285188675 1200.3272783130406 1.257719941349933e-05
-0.08072227984666824 1200.3807451957248 1.35394002427347e-05
-0.07883930206298828 1200.4342117307374 1.3208189557190053e-05
-0.08985541015863419 1200.487677918086 1.8055701730190776e-05
-0.03200255706906319 1200.5411437577773 1.56543046614388e-05
-0.0571182556450367 1200.5946092498177 1.5420742784044705e-05
-0.03154550492763519 1200.6480743942138 1.4303324860520661e-05
-0.06990976631641388 1200.7015391909729 1.976042040041648e-05
-0.0693759173154831 1200.7550036401017 1.79648122866638e-05
-0.10460314154624939 1200.8084677416068 1.564626654726453e-05
-0.057442519813776016 1200.8619314954951 1.2742611033900175e-05
-0.023509470745921135 1200.9153949017732 1.8996854123543017e-05
-0.07178354263305664 1200.968857960448 1.4427154383156449e-05
-0.03305164352059364 1201.0223206715264 1.5121707292564679e-05
-0.03486551716923714 1201.075783035015 2.5486151571385562e-05
-0.057937610894441605 1201.1292450509206 1.3388584193307906e-05
-0.07316061854362488 1201.1827067192503 1.1222171451663598e-05
-0.07491185516119003 1201.2361680400102 1.5029619135020766e-05
-0.0656895786523819 1201.2896290132076 1.469164726586314e-05
-0.012403844855725765 1201.3430896388495 2.5849349185591564e-05
-0.05856854096055031 1201.396549916942 1.2680309737334028e-05
-0.033112216740846634 1201.4500098474925 0.023187575861811638
-0.061959534883499146 1201.5034694305073 1.4495482901111245e-05
-0.05960984528064728 1201.5569286659932 1.3351685993256979e-05
-0.06215909495949745 1201.6103875539575 1.4170410395308863e-05
-0.05440249294042587 1201.6638460944062 2.6317562515032478e-05
-0.0593586303293705 1201.717304287347 1.2044579307257663e-05
-0.024838456884026527 1201.7707621327859 1.801264261303004e-05
-0.03491305932402611 1201.8242196307299 1.4944089343771338e-05
-0.05981997773051262 1201.877676781186 1.1894433555426076e-05
-0.024817032739520073 1201.931133584161 1.7348696928820573e-05
-0.03480854630470276 1201.984590039661 1.413572499586735e-05
-0.02511979453265667 1202.0380461476936 1.7584046872798353e-05
-0.025146150961518288 1202.0915019082654 1.744070505083073e-05
-0.10788727551698685 1202.1449573213827 1.5323275874834508e-05
-0.024984782561659813 1202.1984123870525 1.6708343537175097e-05
-0.026011042296886444 1202.251867105282 1.8706772607401945e-05
-0.06316716223955154 1202.3053214760776 1.3700609088118654e-05
-0.02574806474149227 1202.3587754994458 1.777060970198363e-05
-0.06278790533542633 1202.412229175394 1.258113934454741e-05
-0.025486325845122337 1202.4656825039285 1.6857966329553165e-05
-0.10383857041597366 1202.5191354850563 1.511994287284324e-05
-0.02593572437763214 1202.572588118784 1.7476417269790545e-05
