flux wave error
-0.038387399166822433 1198.5388864484403 9.777308150660247e-06
-0.07737385481595993 1198.5923606839424 8.242697731475346e-06
-0.061013560742139816 1198.645834571581 1.2883150702691637e-05
-0.07588893920183182 1198.6993081113635 7.912261935416609e-06
-0.06732681393623352 1198.7527813032966 9.204100933857262e-06
-0.05799861252307892 1198.8062541473867 9.5806035460555e-06
-0.06035930663347244 1198.8597266436407 1.2011440048809163e-05
-0.04809238389134407 1198.9131987920655 9.057712304638699e-06
-0.07633236050605774 1198.966670592668 1.1882535545737483e-05
-0.06673967093229294 1199.020142045455 1.026689733407693e-05
-0.025839485228061676 1199.073613150433 1.1960434676439036e-05
-0.02609672211110592 1199.127083907609 1.2095637430320494e-05
-0.027322283014655113 1199.1805543169896 1.2215085916977841e-05
-0.027671415358781815 1199.234024378582 1.1584997992031276e-05
-0.05931457132101059 1199.2874940923925 8.833662832330447e-06
-0.04053739830851555 1199.3409634584282 9.543387022858951e-06
-0.0422506146132946 1199.3944324766958 1.1134165106341243e-05
-0.027100389823317528 1199.447901147202 1.2132889423810411e-05
-0.0952603742480278 1199.5013694699537 9.83578593150014e-06
-0.04073445498943329 1199.5548374449577 1.1917021765839309e-05
-0.030764399096369743 1199.6083050722204 1.0199840289715212e-05
-0.07375035434961319 1199.6617723517493 1.031112242344534e-05
-0.07290522754192352 1199.7152392835508 8.15803559817141e-06
-0.08840730041265488 1199.7687058676313 1.0492570254427847e-05
-0.03448152169585228 1199.8221721039981 1.3618322554975748e-05
-0.09406856447458267 1199.875637992658 9.736892934597563e-06
-0.043173640966415405 1199.9291035336175 9.427174518350512e-06
-0.047786347568035126 1199.9825687268835 1.0182488040300086e-05
-0.028010131791234016 1200.036033572463 1.3405111531028524e-05
-0.07425931841135025 1200.0894980703624 8.352180884685367e-06
-0.08642464131116867 1200.142962220589 8.134618838084862e-06
-0.04360625520348549 1200.1964260231487 9.344266800326295e-06
-0.08612386137247086 1200.2498894780492 1.1780824934248812e-05
-0.04405130818486214 1200.3033525852966 8.981583960121498e-06
-0.10712984204292297 1200.3568153448982 9.477014828007668e-06
-0.0786178708076477 1200.4102777568608 8.137027180055156e-06
-0.05359294265508652 1200.4637398211905 1.0805779311340302e-05
-0.03279593959450722 1200.5172015378948 1.021609568852e-05
-0.072759710252285 1200.57066290698 9.922739991452545e-06
-0.08433130383491516 1200.6241239284532 8.227839316532481e-06
-0.04823412001132965 1200.6775846023213 1.3883976862416603e-05
-0.07929597049951553 1200.7310449285908 1.0335666047467384e-05
-0.07912153005599976 1200.7845049072682 8.952872121881228e-06
-0.06260441243648529 1200.8379645383611 7.97491884441115e-06
-0.02535589039325714 1200.8914238218756 1.3475277228280902e-05
-0.14536210894584656 1200.9448827578185 9.398630027135368e-06
-0.08875377476215363 1200.9983413461969 7.725981959083583e-06
-0.03853749856352806 1201.0517995870175 1.4995713172538672e-05
-0.06928625702857971 1201.1052574802866 9.275363481719978e-06
-0.08915345370769501 1201.158715026012 9.334550668427255e-06
-0.07797566801309586 1201.2121722241993 9.666120604379103e-06
-0.055601976811885834 1201.2656290748562 1.1388025086489506e-05
-0.06737518310546875 1201.3190855779892 1.1507480849104468e-05
-0.06969974935054779 1201.3725417336047 8.842712304613087e-06
-0.06887675076723099 1201.42599754171 1.0810470485012047e-05
-0.08498688787221909 1201.4794530023116 9.37880849960493e-06
-0.09259476512670517 1201.5329081154166 8.022301699384116e-06
-0.04699988663196564 1201.586362881031 9.577367563906591e-06
